branchCode,branchName,address1,districtId,stateId,isHub,phone1,phone2,address2,cityId
BLYP,BENGALURU - YESWANTHPURA,"NO.134,13/6, WEIGHBRIDGE ROAD, MARIAPPANA PALYA,,YESHWANTHPUR NEAR ULLAS THEATER, BANGALORE-560022",36,4,0,,,,
BLDT,BENGALURU - DOBBESPET,"DABASPETE,D.NO:34/9,R.NO:1,G.FLR,CHANDANAHOSAHALLI-VL,SOMPURA I.A(HOBLI),MANJUNATHA I.CATERERS N HOTEL-B.SI,BLNM,BLTR",37,4,0,,,,
BLNM,BENGALURU - NELAMANGALA,"214/22, SHANTHI NAGAR, ARASHINAKUNTE,NEAR KSRTC BUS DEPOT, NELAMANGALA,BANGALORE-562123",37,4,0,,,,
BLDB,DODDABALLAPUR,"1288/23/1,BESANT PARK ROAD,DEVANAHALLI ROAD,OPP. RAILWAY STN,OPP.INDIAN OIL PETROLBUNK,DODDABALLAPUR",37,4,0,,,,
HSKT,HOSKOTE,"OPP.OLD BDO OFFICE, NEAR VITOVA TEMPLE ,SULEBELE ROAD, HOSKOE",37,4,0,,,,
RMNR,RAMANAGARAR,"D.N.427/1800,2ND WARD,VINAYAK NAGAR,B.M.ROADCROSS ,NEAR POLICE STATION RMNR",37,4,0,,,,
CHMG,CHIKMAGALUR,"KANAKASHREE PLAZA STADIUM ROAD,DANTARMAKKI,JYOTHINAGAR(P),CHMG-577102",38,4,0,,,,
TRKR,TARIKERE,"BOVI COLONY, 04TH CROSS, LINGADAHALLI ROAD,NEAR KARNATAKA BANK ATM, TAREKERE-577 228",38,4,0,,,,
HRUR,HIRIYUR,"D.NO.25/16, YERRAGUNTESWARA LAYOUTS,,BEHIND SRINIVASA LODGE, HIRIYUR-577598.",33,4,0,,,,
HSSN,HASSAN,"KHATA ID NO.34-4-548-122C SAS 630 OLD NO.122C,ward no.34,near water tank,channapatna layout,hssn",39,4,0,,,,
BAGP,BAGEPALLI,"S.B.M.ROAD, OPP. RAMA TEMPLE,NEAR LIC OFFICE, BAGEPALLI",40,4,0,,,,
CHBP,CHICKBALLAPUR,"WARD NO.19, OPP. LIC OFFICE, NH-7 CROSS,BHARATHI NAGAR, CHICK BALLAPUR",40,4,0,,,,
CNTM,CHINTAMANI,"SURVEY NO.350/1A, BOOMBU BAZAR,CHINTAMANI TOWN",40,4,0,,,,
GRBN,GOWRIBIDANUR,"SURVEY NO.350/1A, BOOMBU BAZAR,CHINTAMANI TOWN",40,4,0,,,,
KOLR,KOLAR,"715, LAKSHMI NILAYA, NEAR AMBEDKAR BOYS HOSTEL,KUVEMPU NAGAR, ANTHARGANGE ROAD",40,4,0,,,,
KGF,KOLAR - GOLD FIELDS,"GEETHA ROAD,OPP SHYAM HOSPITAL,4TH CROSS NORTH,,ROBERTSONEPT,KGF.",40,4,0,,,,
MLBG,MULBAGAL,"NO.2, KSAP COMPLEX, OPP.IDGA MAIDANE,SRINIVASA PURA ROAD, MULBAGAL-563 131",40,4,0,,,,
MND,MANDYA,"D.NO.3573,OLD MC ROADSIHINEERUKOLE, 4TH CROSS ROAD,MANDYA-571 401",41,4,0,,,,
MYS,MYSORE,"2203/2A, NEW SANTHAPET, BEHIND PRIVET BUSSTAND,NEAR RMC CIRCLE, MYSORE-570 021",42,4,0,,,,
SIRA,SIRA,"SIRA,D.NO.3,SRI LAKSHMI VENKATESWARA NILAYA,NEAR RAGHU HOSPITAL,BALAJI NAGARA.SIRA 572 137",31,4,0,,,,
TIPT,TIPTUR,"D.NO.71, CHANGALARATASHETI BEEDI, KOTE, TIPTUR TOW,TUMUKUR (DISTRICT), KARANATAKA -572 201",31,4,0,,,,
TMK,TUMKUR,"NEAR MARUTHI TEMPLE,,B.G.PALYA ROAD,TUMKUR",31,4,0,,,,
HOSR,HOSUR,"D.NO.18/3, VASANTH NAGAR, ,BYPASS ROAD, OPP.ARUNAGIRI COMPLEX",70,9,0,,,,
RYK,RAILWAYKODUR,"D.NO.10/519-1, OPP. LAKSHMI PARADISE THEATRE, M.G.,ROAD,OPP. YMAHASHOW ROOM,RYK",3,1,0,,,,
RJPT,RAJAMPET,"D.NO.6/27, NEAR CHOWDAMMA TEMPLE,REDDY VARI STREET, RAJAMPETA",3,1,0,,,,
RCT,RAYACHOTI,"CHITTOOR MAIN ROAD, ,OPP.S.R.KALYANA MANDAPAM AND R.T.O.OFFICE, RCT",3,1,0,,,,
BDV,BADVEL,"DR.NO.8-2-288, MYDUKUR ROAD, BADVEL,NEAR T.T.D. KALYANA MANDAPAM",4,1,0,,,,
JMGU,JAMMALAMADUGU,"NO:19/504, NARAPURA SWAMY TEMPLE STREET,OPP SAIRAM THEATRE, BESIDE TTD KALYANMANDAPAM",4,1,0,,,,
CDP,KADAPA - BELLARY ROAD,"D.NO:16-116-2,NEAR MEKALA DODDI, KADAPA.",4,1,0,,,,
CDK,KADAPA - NEW BUS STAND,"D.NO.36/323-42,OLD BY PASS ROAD,CHINNACHOWK, KADAPA-516 004, NEAR AADITYA KALYANA MANDAPAM",4,1,0,,,,
CDRR,KADAPA - RAYACHOTI ROAD,"NAVATA ROAD TRANSPORT,D.NO.44/37-1(2),CHEMMUMIAPET,NEAR UTUKUR CHECKPOST,RAYACHOTI ROAD,KADAPA",4,1,0,,,,
KJP,KHAJIPET (C),"D.NO.1/38,MYDAKUR ROAD, KHAJI PETA.",4,1,0,,,,
MDVR,MADHAVARAM,"D NO.2/81, NEW MADAVARAM, ONTIMETTA (M),NEAR FOREST CHECK POST, KAADAPA",4,1,0,,,,
MYDK,MYDUKUR,"D.NO.6/759, PRODDATUR ROAD, 06TH WARD,MYDUKURU-516 172, KADAPA DISTRICT",4,1,0,,,,
PML,PORUMAMILLA,"OPP. RELIANCE TOWER, NEAR T.B.BANGLA ROAD,PORUMAMILLA, KADAPA DIST",4,1,0,,,,
PDTR,PRODDATUR - TWO TOWN POLICE ST,"PLOT NO.405, 3RD ROAD, 2TOWN POLICE STATION BY PAS,ROAD,K.B.N.R COLONY ANJANEYA TEMPLE KADAPA(DIS)",4,1,0,,,,
PLVL,PULIVENDLA,"3-6-10/11, 3-6-10/12, NEAR AUTO NAGAR,,kadapa (District), andhra pradesh",4,1,0,,,,
VEMP,VEMPALLI,"D.NO.9/32 PAPPULA BAZAR, VEMPALLI VILLAGE AND POST,VEMPALLI MANDAL, KADAPA DIST.d.no.9-321",4,1,0,,,,
YGTL,YERRAGUNTLA,"D.NO.2-115/8, KADAPA ROAD,YERRAGUNTLA - 516 309",4,1,0,,,,
GID,GIDDALUR,"D.NO.10-2/-15/3/7/8,P.R. COLONY, REVENUE WARD-10, ,giddalur, prakasam(district), AP- 523 357",5,1,0,,,,
PDCY,PONDICHERRY,"SURVEY NO.91/113, SONIA GANDHI NAGAR,,KAMRAJAR SALAI, PONDY-605009.",69,8,0,,,,
CHAL,CHENNAI - ALAMADHI,"D.NO 5/427A,NEAR SKLS WARE HOUSE ,THIRUVALLUR ,HIGH ROAD,ALAMADHI,CHENNAI-600 052",71,9,0,,,,
MSA,CHENNAI - AMBATTUR,"D.NO:18/3D, MEENAMBEDU ROAD, MUNNURPET,,OFF.SIDCO, INDUSTRIAL ESTATE, CHENNAI-600 050",71,9,0,,,,
MSB,CHENNAI - BROADWAY,"OLD NO.44, NEW NO.91,GOVINDAPPA NAICKEN STREET, CHENNAI-600 001",71,9,0,,,,
MSC,CHENNAI - CHOOLAI,"44/104, ANGALAMMAN KOVIL STREET,CHOOLAI, CHENNAI-600 112",71,9,0,,,,
MSG,CHENNAI - GUINDY,"D.NO.19/12A, SOUTH RAJA STREET, ALANDUR,CHENNAI-600 016",71,9,0,,,,
MSMK,CHENNAI - MOOLAKADAI,"NO.54, G.N.T. ROAD,NEAR MOOLAKKADAI JUNCTION,CHENNAI-600 110.",71,9,0,,,,
MSM,CHENNAI - MOUNT ROAD,"H.NO.21/11, HUSSAIN MULK STREET ROYAPETTAH,,CHENNAI-600 014",71,9,0,,,,
CHPV,CHENNAI - PALLAVARAM,"NEW NO-5,OLD PERIYA PALAYATHAMMAN, ,KOIL STREET, PALLAVARAM - 600 043.",71,9,0,,,,
MSP,CHENNAI - PERUNGUDI,"D.NO.309, 7TH STREET, NORTH KPK NAGAR,,KOTTIVAKKAM, CHENNAI - 600 041",71,9,0,,,,
CHPM,CHENNAI - POONAMALLE,"120C, AVADI ROAD, CHENNER KUPPAM,,Chennai - 56",71,9,0,,,,
MSR,CHENNAI - REDHILLS,"D.NO.2/318 H. BYPASS ROAD,,REDHILLS, CHENNAI-600 052.",71,9,0,,,,
MSN,CHENNAI - T.NAGAR,"NO.15A,NEW NO.37,MODEL HUTMENT ROAD,OPP.YMCA,,CIT NAGAR,NANDANAM,CHENNAI-600 035.",71,9,0,,,,
MST,CHENNAI - TONDIARPET,"NO.8, PUMPING STATION ROAD,,ROYAPURAM, CHENNAI-600 013",71,9,0,,,,
MSV,CHENNAI - VALASARAVAKKAM,"NO. 144, THIRUPATHY NAGAR,SRI DEVI GARDEN, MAIN ROAD",71,9,0,,,,
CHVK,CHENNAI - VILLIVAKKAM,"7/4E TYPE,SIDCO NAGAR,VILLIVAKKAM,CHENNAI-600 049,",71,9,0,,,,
CDLR,CUDDALORE,"CUDDALORE,PLOT NO.10,VKJ NAGAR,PACHCHAYAKUPPAM POST,NEAR SIPCOT,",72,9,0,,,,
PNRT,PANRUTI,"NO.15/1, INDHIRA GANDHI ROAD,,KAMARAJAR NAGAR, PANRUTI-607 106",72,9,0,,,,
