SKUCode,product,packSize,lengthCms,widthCms,heightCms,CDM,chargedWeight,consignorId
DDBVA40,DARK BOURBON (VAN) 120g,120X48,44,24,23,24.29,6.3
85147 I,BOURBON 15/-,75X120,42,28.5,19,22.74,5.9
DDCVA120,DARK N CRÈME (VAN) 200g,250X24,44,27,18.5,21.98,5.7
DBAL100g,ALOOZ 30/-,100X60,31,31,29,27.87,7.23
DCSQ18G,CRÈME SQUARES 5/-,18X30X12,40.5,25,34.5,34.93,9.06
DCSQ100n,CRÈME SQUARES 100g,100X60,35.5,32,35,39.76,10.31
DCPA200g,AAM 200g (PB),200X44,44,32.5,18.5,26.46,6.86
DCKA200g,KATCCHA AAM 200g (PB),200X44,44,32.5,18.5,26.46,6.86
DCRLPA15g,RUSH LOLLI POPP 5/- (PB),15X72X10,46,33,26,39.47,10.23
DCOEN225P,EMINO (Assorted) 225/-,2.8X225X12,42,31.5,26.5,35.06,9.09
DCOA800g,AAM 800g,800X12,55.5,42,22,51.28,13.3
DCOKA800g,KATCCHA AAM 800g,800X12,55.5,42,22,51.28,13.3
DCORPA10g,ROLLI POLI (Assorted),10X100X9,40.5,36,25,36.45,9.45
DCLG150,LOLLYGUM 120g,12X15X12,46,34,15,23.46,6.08
DCOA2000g,AAM 2 Kg,4X500X4,43,41.5,27.5,49.07,12.72
DCOKA2000g,KATCCHA AAM 2 Kg,4X500X4,43,41.5,27.5,49.07,12.72
DCECLC220g,ECLAIRS 220g (PB),220X44,44,32.5,18,25.74,6.67
DELCC440g,ECLAIRS COMBI 440g (PB),440X22,44,32.5,18,25.74,6.67
DCECL800g,ECLAIRS 800g,800X12,47,36,27.5,46.53,12.06
DCAC1000g,AMERICANO CAFÉ 1000g,1000X12,48,45.5,24,52.42,13.59
DCOBT2400g,BUTTERLY TOFFEE 2.4 Kg,2400X4,43,41.5,27.5,49.07,12.72
DCOCT2400g,COCONUTTY TOFFEE 2.4 Kg,2400X4,43,41.5,27.5,49.07,12.72
DCOKT2400g,KAFFY TOFFEE 2.4 Kg,2400X4,43,41.5,27.5,49.07,12.72
85108 A,ELCAIRS 1/- (Pouch),200X44,44,32,17.5,24.64,6.39
DBIC30G,ITALIAN CRISPS 30g,20X10,39,28,26.5,28.94,7.5
DBDML30,DIGESTIVE 100g,100X60,35.5,31.5,24.5,27.4,7.1
DWCCT60,ATC WAFFY (CCNT) 55G,55X60,35.5,30,24.5,26.09,6.76
DBMM67G,MERRY MILK 67g,67*120,40,40,19.5,31.2,8.09
DWDOR30G,WAFFY 10/- DSP (ORG) 30g,12X12,51,27.5,27,37.87,9.82
DBSK30G,SALT KISS 30g,30X140,40,22,30,26.4,6.84
DWDST30G,WAFFY 10/- DSP (STB) 30g,30X12X12,51,27.5,27,37.87,9.82
DWDCH30G,WAFFY 10/- DSP (CHOC) 30g,30X12X12,51,27.5,27,37.87,9.82
DBDCML60,DIGESTIVE COMBO 300g,300X20,37,24,30,26.64,6.91
ASSORTED,ASSORTED,ASSORTED,,,,0,0
DWSB72,ATC WAFFY (STB) 60 g *72,,38,32,25,30.4,7.88
DEWEA72PN,ATC WAFFY (VAN) 75*72,75X72,36.5,35.51,24.51,31.77,8.24
DBUMJ40g,ULTRA MILLET (JEERA COOKIES) 40g,40X12X20,55.5,35,24.51,47.61,12.34
DBUMJ75g,ULTRA MILLET (JEERA COOKIES) 75g,75X12X10,46.51,29.01,27.99,37.77,9.79
DBUMJ150g,ULTRA MILLET (JEERA COOKIES) 150g,150X48,33.5,28.5,28.5,27.21,7.05
DWCH72,ATC WAFFY (CH) 60 g *72,,38,32,25,30.4,7.88
DWOR72,ATC WAFFY (OR) 60 g *72,,38,32,25,30.4,7.88
DWVA72,ATC WAFFY (VA) 60 g *72,,38,32,25,30.4,7.88
DWPA72,ATC WAFFY (PA) 60 g *72,,38,32,25,30.4,7.88
DBDML50g,DIGESTIVE MULTIGRAIN 10- (2000/-) WITH MILLETS,50X10X20,46,37.49,24.51,42.27,10.96
DBBK120g,BUTTER KUKKIES 20/- (800/-),120X42,33.5,27.99,19,17.82,4.62
DBKK40P,KAJU KUKKIES 20/- (800/-),120X40,33.5,27.99,19,17.82,4.62
DBN58g,NICE 10/- (1600/-),58X10X16,43.51,30.99,25.5,34.38,8.91
DCORPA8g,ROLLI POLI (Assorted) 2/- (2250/-),8X125X9,40.49,35.99,24.99,36.42,9.44
DCHCLP50N,COCOLATE 6/- (Tray Pack),,29,24.5,26,18.47,4.79
DWSBC36,ATC WAFFY (STB) COMBI 120X36,,36.5,35.5,24.5,31.75,8.23
DWVAC36,ATC WAFFY (VAN) COMBI 120X36,,36.5,35.5,24.5,31.75,8.23
DWCHC36,ATC WAFFY (CHOC.) COMBI 120X36,,36.5,35.5,24.5,31.75,8.23
DWORC50,ATC WAFFY (ORG) COMBI 120X30,,35.5,30,24.5,26.09,6.76
DWSBC50,ATC WAFFY (STB) COMBI 120X30,,35.5,30,24.5,26.09,6.76
DWCHC50,ATC WAFFY (CHOC.) COMBI 120X30,,35.5,30,24.5,26.09,6.76
DWVAC50,ATC WAFFY (VAN) COMBI 120X30,,35.5,30,24.5,26.09,6.76
DWPAC50,ATC WAFFY (PPNP) COMBI 120X30,,35.5,30,24.5,26.09,6.76
DBCOR120g,CREME 4 FUN (ORG) 20/- 120X36 720/-,,34,24,24.5,19.99,5.18
DBCST120g,CREME 4 FUN (STB) 20/- 120X36 720/-,,34,24,24.5,19.99,5.18
DBCCH120g,CREME 4 FUN (CHOC.) 20/- 120X36 720/-,,34,24,24.5,19.99,5.18
DBCMF60g,CREME 4 FUN (MIXED FRUITS) 10/- 60X60 600/-,,39.5,21,24.5,20.32,5.27
DBCK120g,COCO KUKKIES 20/- 120X42,,33.5,28,19,17.82,4.62
DBDML50,DIGESTIVE 50/-,,35.5,31.5,24.5,27.4,7.1
DBDSPML800g,DIGESTIVE(Super Value Pack),,45,22.5,30,30.38,7.88
DBDCPML30,DIGESTIVE COMBI (Pack of 10),,30.5,24,30,21.96,5.69
DBUMJ300g,ULTRA MILLET (JEERA COOKIES) 300g,,37,31,28.5,32.69,8.48
DBBC15g,BUTTER COOKIES 15g (Air India),,25,25,17,10.63,2.75
DBB18,BOURBON 18/-,,42,28.5,19,22.74,5.9
DBAL100N,ALOOZ 40/-,,31,31,29,27.87,7.23
DBAL25g,DUKES ALOOZ 10/- 25X12X20,,54.5,24,30.5,39.89,10.34
DCSQB18G,CRÈME SQUARES 5/-,,40.5,25,34.5,34.93,9.06
DCSQ100G,CRÈME SQUARES 100g,,35.5,32,35,39.76,10.31
DCSQAL200G,DUKES CRÈME SQUARE + ALOOZ -SSO,,35.5,32,34,38.62,10.01
DBSS30G,SEE SAW 30gX10X14,,40,22.5,31,27.9,7.23
DBSS48,SEE SAW 60gX48,,35.5,26,18,16.61,4.31
DBSS100G,SEA SAW 20/- 100*36 720/-,,34,26.5,26,23.43,6.07
DBSK100G,SALT KISS 20/- 100*36 720/-,,34,27,23,21.11,5.47
DBSK48,SALT KISS 10/- 60*48 489/-,,35.5,27,18.5,17.73,4.6
DCHB45G,Bite 4.5G*125*12,,50,46,22,50.6,13.12
DBBK48,Butter kukkies,,33.5,28,19,17.82,4.62
DBCC450,,,46,25,31,35.65,9.24
DCHMB10g,,,26,26,19,12.84,3.33
