consignorId,consigneeName,address1,cityId,branchId
49,MANIS  MEDICAL AGENSIS,"D. NO.21/5,GROUND FLOOR, NAKEERAN STREET, SIVAGANGAI ROAD, K.K NAGAR, MANAGIRI, MADURAI",464,464
49,SHIVA DURG HOUSE,"KHATHA NO 1115/41, GROUND FLOOR AND FIRST FLOOR VINAYAKANAGAR NEAR BH ROAD, TIPTUR",780,88
49,SAGAR PHARMACEUTICALS,"CST NO 136,PATTADKAL,PATTADKAL BUILDING, MAHAVEER ROAD, BAGALKOT",62,144
49,SARA RS ENTERPRISES,"NEW NO.1, OLD NO 9.EAST FACING 2ND FLOOR INSIDE DOOR RK DIABETIC FOOT AND PODIATRY INSTITUTE KOLATHUR.",398,118
49,GEO MED ENTERPRISES,"PLOT NO.20 SOUTH FACING,GROUND FLOOR, M.S.S.NAGAR, KATTUPAKKAM,POONAMALLEE,CHENNAI",142,118
49,SIR IVAN STEDFORD HOSPITAL PHARMACY,"ROOM NO 36,G.F, SIR IVAN HOSPITAL NO.2, M.T.H ROAD, THIRUMULAVOYAL , CHENNAI",142,116
49,HANNAH PHARMACEUTICALS,"No.33, SAB Complex Ground Floor perumal south car street, Tirunelvelli",784,476
49,SRI KRISH MEDICAL SOLUTIONS,sp.v soundravalli illam no 42-a first floor raghupathi layout saibaba colony,171,449
49,SUNSHINE MEDICALS,INSIDE SUNSHINE HOSPITAL DOOR NO 1994 & 1995 3RD CROSS 3RD MAIN ROAD MCC A BLOCK-DAVANGERE,186,152
49,SARADH MEDICAL AND SURGICALS,D.NO 50/760-100-1 Gayathri Esatate kurnool,442,340
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,VIJAYAPRIYA HEALTH CARE,"12-12-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,LYSANDER HOSPITAL PVT LTD,Dno.20 shanmugam street virudhanagar,701,484
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,SHOBHA MEDICAL AND GENERAL STORES,3855/7/68/4B GROOD FLOOR SHOBHA HOSPITAL PREMISES MULGAD ROAD,222,158
49,LYSANDER HOSPITAL PVT LTD,Dno.20 shanmugam street virudhanagar,701,484
49,VIJAYAPRIYA HEALTH CARE,"12-12-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,PRAKASH ENTERPISES,"CTS, No.1449/1450, Algundagi Complex 1st Floor Alagundagi oni hubli",284,156
49,SRI KRISH MEDICAL SOLUTIONS,sp.v soundravalli illam no 42-a first floor raghupathi layout saibaba colony,171,449
49,NUB LABORATIRIES,1/202-A2 shop no-05 ground floor maharajan industrial colony vigaganur ,464,464
49,SRI SAI DHEERAJ MEDICALS,10-2-18/7 NEWD NO 10-2-18/4/C/O SRI SAI DHEERAJ NURSHING NEAR RANGARAYADU ONGLE,587,626
49,GEO MED ENTERPRISES,"PLOT NO.20 SOUTH FACING,GROUND FLOOR, M.S.S.NAGAR, KATTUPAKKAM,POONAMALLEE,CHENNAI",142,118
49,SPOORTHY MEDICALS AND SURGICALS,"DOOR NO 44-34-24, NANDAGIRI NAGAR AKKAYYAPALEM, VISAKHAPATNAM",820,545
49,LIFE LINE 24X7 PHARMA,SHIVASHEEL MULTYPLEX OPP NEW BUS STAND GOKUL ROAD DHARWAD,284,156
49,INDIRA PHARMA,"K NO.2860/2704, C/O INDIRA HOSPITAL NEAR PARK CHINTAMANI, CHIKKABALAPUR",150,80
49,V CARE PHARMA,#39/16 sommasundram 2nd street ayanavaram chennai ,142,112
49,DEVIS MEDICALS (SURGICAL AND PHARMACEUTICALS DISTRIBUTORS),"H NO 14-5/1 FIRST FLOOR, NEAR ORANGE SUPER MARKET, SN COLONY, BIBI SHAEB MAQTA",292,219
49,VIJAYAPRIYA HEALTH CARE,"12-13-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,KARUNAMAYA MEDICAL AGENCIES,"31-7-100/1, KUMMARIVEEDHI ALIPURAM, VISAKHAPATNAM",820,545
49,HANNAH PHARMACEUTICALS,"No.33, SAB Complex Ground Floor perumal south car street, Tirunelvelli",784,476
49,GOOBERZ MEDICAL DISTRIBUTORES,Ward No.12 khatha 3135/1009 no 26313 gr & 1st Floor 1st Main road tumkur,792,89
